,title,author,publication_day,publication_month,publication_year,format,current_price,original_price
0,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,2,8,2016,Paperback,16.94,16.94
1,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2,4,2020,Paperback,13.79,13.79
2,Death to Jar Sauce,Nat's What I Reckon,16,11,2021,Paperback,22.77,25.44
3,The Midnight Library,Matt Haig,18,2,2021,Paperback,11.41,12.35
4,The Body Keeps the Score,Bessel van der Kolk,24,9,2015,Paperback,17.14,17.14
5,The Song of Achilles,Madeline Miller,21,9,2017,Paperback,18.1,18.1
6,"Beautiful World, Where Are You",Sally Rooney,7,9,2021,Hardback,21.48,23.34
7,The Love Hypothesis,Ali Hazelwood,28,9,2021,Paperback,13.99,16.0
8,Dune,Frank Herbert,23,7,2015,Paperback,17.29,17.29
9,Peril,Bob Woodward,21,9,2021,Hardback,27.6,27.6
10,The Thursday Murder Club,Richard Osman,13,5,2021,Paperback,15.16,15.16
11,Ugly Love: A Novel,Hoover,5,8,2014,Paperback,15.71,16.99
12,You Can Do All Things 2022 Day-to-Day Calendar,Kate Allan,30,9,2021,Calendar,15.15,15.99
13,Man's Search For Meaning,Viktor E Frankl,6,10,2015,Paperback,8.03,9.6
14,Six Crimson Cranes,Elizabeth Lim,8,7,2021,Hardback,23.97,23.97
15,Where the Crawdads Sing,Delia Owens,20,12,2019,Paperback,10.56,12.35
16,Piranesi,Susanna Clarke,2,9,2021,Paperback,11.68,12.35
17,Atomic Habits,James Clear,27,11,2018,Paperback,21.19,23.34
18,Your Head is a Houseboat,Campbell Walker,29,9,2021,Paperback,17.89,19.99
19,They Both Die at the End,Adam Silvera,7,9,2017,Paperback,10.42,10.98
20,Grandmaster of Demonic Cultivation,Mo Xiang Tong Xiu,14,12,2021,Paperback,17.89,19.99
21,The Song of Achilles,Madeline Miller,2,9,2021,Hardback,38.7,38.7
22,The Beekeeper of Aleppo,Christy Lefteri,1,4,2020,Paperback,10.68,12.35
23,Dune,Frank Herbert,15,7,2011,Paperback,14.15,14.15
24,Heaven Official's Blessing,Mo Xiang Tong Xiu,14,12,2021,Paperback,17.89,19.99
25,Normal People,Sally Rooney,23,7,2019,Paperback,13.9,13.9
26,The Atlas Six,Olivie Blake,30,1,2020,Paperback,16.79,16.79
27,The Silent Patient,Alex Michaelides,15,1,2020,Paperback,10.05,12.35
28,The Hating Game,Sally Thorne,7,9,2017,Paperback,15.86,15.86
29,A Passage North,Anuk Arudpragasam,15,7,2021,Hardback,25.81,25.81
