,title,author,publication_date,format,current_price,original_price
0,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,02 Aug 2016,Paperback,US$16.94,US$16.94
1,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,02 Apr 2020,Paperback,US$13.79,US$13.79
2,Death to Jar Sauce,Nat's What I Reckon,16 Nov 2021,Paperback,US$22.77,US$25.44
3,The Midnight Library,Matt Haig,18 Feb 2021,Paperback,US$11.41,US$12.35
4,The Body Keeps the Score,Bessel van der Kolk,24 Sep 2015,Paperback,US$17.14,US$17.14
5,The Song of Achilles,Madeline Miller,21 Sep 2017,Paperback,US$18.10,US$18.10
6,"Beautiful World, Where Are You",Sally Rooney,07 Sep 2021,Hardback,US$21.48,US$23.34
7,The Love Hypothesis,Ali Hazelwood,28 Sep 2021,Paperback,US$13.99,US$16.00
8,Dune,Frank Herbert,23 Jul 2015,Paperback,US$17.29,US$17.29
9,Peril,Bob Woodward,21 Sep 2021,Hardback,US$27.60,US$27.60
10,The Thursday Murder Club,Richard Osman,13 May 2021,Paperback,US$15.16,US$15.16
11,Ugly Love: A Novel,Hoover,05 Aug 2014,Paperback,US$15.71,US$16.99
12,You Can Do All Things 2022 Day-to-Day Calendar,Kate Allan,30 Sep 2021,Calendar,US$15.15,US$15.99
13,Man's Search For Meaning,Viktor E Frankl,06 Oct 2015,Paperback,US$8.03,US$9.60
14,Six Crimson Cranes,Elizabeth Lim,08 Jul 2021,Hardback,US$23.97,US$23.97
15,Where the Crawdads Sing,Delia Owens,20 Dec 2019,Paperback,US$10.56,US$12.35
16,Piranesi,Susanna Clarke,02 Sep 2021,Paperback,US$11.68,US$12.35
17,Atomic Habits,James Clear,27 Nov 2018,Paperback,US$21.19,US$23.34
18,Your Head is a Houseboat,Campbell Walker,29 Sep 2021,Paperback,US$17.89,US$19.99
19,They Both Die at the End,Adam Silvera,07 Sep 2017,Paperback,US$10.42,US$10.98
20,Grandmaster of Demonic Cultivation,Mo Xiang Tong Xiu,14 Dec 2021,Paperback,US$17.89,US$19.99
21,The Song of Achilles,Madeline Miller,02 Sep 2021,Hardback,US$38.70,US$38.70
22,The Beekeeper of Aleppo,Christy Lefteri,01 Apr 2020,Paperback,US$10.68,US$12.35
23,Dune,Frank Herbert,15 Jul 2011,Paperback,US$14.15,US$14.15
24,Heaven Official's Blessing,Mo Xiang Tong Xiu,14 Dec 2021,Paperback,US$17.89,US$19.99
25,Normal People,Sally Rooney,23 Jul 2019,Paperback,US$13.90,US$13.90
26,The Atlas Six,Olivie Blake,30 Jan 2020,Paperback,US$16.79,US$16.79
27,The Silent Patient,Alex Michaelides,15 Jan 2020,Paperback,US$10.05,US$12.35
28,The Hating Game,Sally Thorne,07 Sep 2017,Paperback,US$15.86,US$15.86
29,A Passage North,Anuk Arudpragasam,15 Jul 2021,Hardback,US$25.81,US$25.81
30,Come as You Are: Revised and Updated,Emily Nagoski,02 Mar 2021,Paperback,US$18.54,US$18.54
31,I Grew with You,Sarah Molitor,26 Oct 2021,Hardback,US$15.95,US$16.95
32,Conversations with Friends,Sally Rooney,01 Mar 2018,Paperback,US$15.01,US$15.01
33,The Scum Villain's Self-Saving System,Mo Xiang Tong Xiu,14 Dec 2021,Paperback,US$17.89,US$19.99
34,You Can Do All Things 2022 Day-to-Day Calendar,Kate Allan,30 Sep 2021,Calendar,US$15.15,US$15.99
35,Clarity & Connection,Yung Pueblo,02 Jul 2021,Paperback,US$15.47,US$16.99
36,"Red, White & Royal Blue",Casey McQuiston,14 May 2019,Paperback,US$13.65,US$16.99
37,Red Roulette,Desmond Shum,07 Sep 2021,Paperback,US$34.83,US$34.83
38,The Vanishing Half,Brit Bennett,03 Jun 2021,Paperback,US$14.51,US$14.51
39,The Spanish Love Deception,Elena Armas,22 Feb 2021,Paperback,US$25.98,US$25.98
40,The Cruel Prince (The Folk of the Air),Holly Black,26 Jul 2018,Paperback,US$10.21,US$12.35
41,One Of Us Is Lying,Karen M. McManus,01 Jun 2017,Paperback,US$11.20,US$11.20
42,Verity,Colleen Hoover,10 Dec 2018,Paperback,US$14.64,US$14.99
43,The Hebridean Baker,Coinneach MacLeod,15 Oct 2021,Hardback,US$27.16,US$27.48
44,Empire of the Vampire,Jay Kristoff,07 Sep 2021,Hardback,US$25.99,US$25.99
45,1984,George Orwell,01 Oct 2008,Paperback,US$8.33,US$17.75
46,12 Rules for Life,Jordan B. Peterson,07 May 2019,Paperback,US$14.05,US$15.10
47,Your One Wild and Precious Life,Maureen Gaffney,16 Sep 2021,Paperback,US$21.77,US$21.77
48,All Your Perfects,Colleen Hoover,09 Aug 2018,Paperback,US$13.83,US$16.99
49,Our Family Pledge,Emmaline Carroll Southwell,28 Sep 2021,Hardback,US$13.88,US$14.53
50,Rich Dad Poor Dad,Robert T. Kiyosaki,31 Oct 2018,Paperback,US$9.43,US$9.43
51,The Psychology of Money,Morgan Housel,08 Sep 2020,Paperback,US$17.64,US$18.99
52,If We Were Villains - signed edition,M. L. Rio,24 Sep 2021,Hardback,US$18.43,US$20.59
53,The Secret History,Donna Tartt,01 Jul 1995,Paperback,US$20.13,US$20.13
54,"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,04 Nov 2019,Hardback,US$23.22,US$23.34
55,The Very Hungry Caterpillar,Eric Carle,29 Sep 1994,Board book,US$9.32,US$9.48
56,"Thinking, Fast and Slow",Daniel Kahneman,24 May 2012,Paperback,US$21.19,US$21.19
57,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,15 Feb 2022,Paperback,US$17.89,US$19.99
58,The Invisible String,Patrice Karst,06 Dec 2018,Paperback,US$10.67,US$10.67
59,The Truth About COVID-19,Doctor Joseph Mercola,29 Apr 2021,Hardback,US$21.05,US$24.95
60,A Good Girl's Guide to Murder,Holly Jackson,17 Oct 2019,Paperback,US$12.77,US$12.77
61,Aristotle and Dante Dive Into the Waters of the World,Benjamin Alire Saenz,12 Oct 2021,Paperback,US$13.00,US$13.00
62,Six of Crows: Collector's Edition,Leigh Bardugo,11 Oct 2018,Hardback,US$20.92,US$23.34
63,Joshua Weissman: An Unapologetic Cookbook,Joshua Weissman,14 Sep 2021,Hardback,US$30.01,US$30.01
64,Dear Zoo,Rod Campbell,08 May 2007,Board book,US$7.65,US$7.65
65,"My Hero Academia, Vol. 29",Kohei Horikoshi,30 Sep 2021,Paperback,US$9.77,US$9.99
66,The Power of Now,Eckhart Tolle,07 Jan 2016,Paperback,US$13.46,US$19.75
67,Hamnet,Maggie O'Farrell,15 Apr 2021,Paperback,US$15.83,US$15.83
68,Ugly Love,Colleen Hoover,21 Jan 2016,Paperback,US$13.87,US$15.50
69,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,Mo Xiang Tong Xiu,15 Mar 2022,Paperback,US$17.89,US$19.99
70,Start With Why,Simon Sinek,11 Oct 2011,Paperback,US$12.49,US$21.75
71,A Little Life,Hanya Yanagihara,10 Mar 2017,Paperback,US$16.08,US$16.08
72,Circe,Madeline Miller,24 Apr 2019,Paperback,US$13.47,US$13.72
73,Animal Farm,George Orwell,01 Oct 2008,Paperback,US$7.26,US$17.75
74,Attached,Amir Levine,22 Aug 2019,Paperback,US$15.46,US$15.46
75,Dune Messiah,Frank Herbert,16 May 2018,Paperback,US$15.41,US$15.41
76,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,15 Feb 2022,Paperback,US$17.89,US$19.99
77,Shuggie Bain,Douglas Stuart,15 Apr 2021,Paperback,US$12.33,US$12.35
78,We Were Liars,E. Lockhart,13 May 2014,Paperback,US$14.17,US$14.17
79,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,Mo Xiang Tong Xiu,17 May 2022,Paperback,US$17.89,US$19.99
80,The Man Who Died Twice,Richard Osman,16 Sep 2021,Hardback,US$26.32,US$26.32
